beta_0,beta_1,beta_2,beta_3,beta_4,beta_5,beta_6,beta_7,beta_8,beta_9,height_cm,shoulder_width_cm,chest_circumference_cm,waist_circumference_cm,hip_circumference_cm,arm_length_cm,leg_length_cm
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,-5.0,5.0,224.30336475372314,47.4719762802124,63.23755979537964,32.11433291435242,65.40787816047668,67.28467047214508,132.68561959266663
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,0.0,-5.0,221.91333770751953,46.48392200469971,74.8794436454773,39.76237773895264,73.36978912353516,68.37632060050964,131.12919330596924
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,0.0,0.0,222.8269100189209,45.565783977508545,73.25559854507446,38.55259418487549,72.16827273368835,68.55869889259338,131.51458501815796
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,0.0,5.0,223.74892234802246,44.667258858680725,71.74972891807556,37.35817074775696,71.15174531936646,68.74585747718811,131.90403580665588
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,5.0,-5.0,221.36352062225342,43.65958571434021,80.92777729034424,45.32942175865173,78.92471551895142,69.84543204307556,130.36429286003113
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,5.0,0.0,222.279691696167,42.74144768714905,79.35494184494019,44.07758414745331,76.57297849655151,70.025634765625,130.74764609336853
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,-5.0,5.0,5.0,223.24602603912354,43.27349662780762,77.82096266746521,42.829811573028564,75.36283731460571,70.21053731441498,131.13505244255066
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,-5.0,-5.0,222.79696464538574,48.86320233345032,73.40252995491028,31.87183439731598,75.6018877029419,67.03380346298218,131.97954893112183
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,-5.0,0.0,223.7013339996338,47.98221290111542,71.94372415542603,29.93658483028412,74.28301572799683,67.22204089164734,132.36892819404602
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,-5.0,5.0,224.62091445922852,47.357019782066345,70.31210064888,29.237589240074158,73.00535440444946,67.41516292095184,132.76230096817017
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,-5.0,222.22487926483154,46.36896848678589,79.91952896118164,36.41081750392914,81.55449032783508,68.49795579910278,131.19337558746338
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,0.0,223.1386661529541,45.45082747936249,78.33023071289062,33.86259377002716,80.20170331001282,68.68389844894409,131.5808117389679
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,0.0,5.0,224.1093873977661,46.08599543571472,77.83542275428772,33.16642343997955,78.88628840446472,68.87465119361877,131.97221755981445
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,5.0,-5.0,221.67108058929443,43.54463219642639,87.39574551582336,41.182759404182434,87.5433087348938,69.96550559997559,130.41987419128418
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,5.0,0.0,222.63448238372803,43.83085370063782,85.76939105987549,39.35857117176056,86.16236448287964,70.1492190361023,130.80524802207947
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,0.0,5.0,5.0,223.6065149307251,43.30484867095947,84.27903056144714,38.46614360809326,84.81589555740356,70.3376829624176,131.19455575942993
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,-5.0,223.11034202575684,48.60038459300995,81.1744213104248,31.498199701309204,83.62107276916504,67.16108322143555,132.08715319633484
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,0.0,224.01742935180664,47.719404101371765,79.00348901748657,31.00651502609253,82.25491642951965,67.35292971134186,132.47868418693542
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,-5.0,5.0,224.97427463531494,46.6799795627594,78.10989022254944,30.572983622550964,80.9242308139801,67.54966974258423,132.87410140037537
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,-5.0,222.53642082214355,46.25401198863983,86.94380521774292,33.82124602794647,89.68688249588013,68.62355768680573,131.29287958145142
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,0.0,223.4990119934082,46.95345163345337,85.8036458492279,32.697540521621704,88.2994294166565,68.81307065486908,131.68245553970337
-5.0,-5.0,-5.0,-5.0,-5.0,-5.0,5.0,5.0,0.0,5.0,224.47106838226318,46.139371395111084,83.22421312332153,31.888309121131897,86.94486618041992,69.00739669799805,132.07587003707886
